Understat_ID, FPL_ID, Understat_Name, FPL_Name
-1,195,,Chadi Riad Dnanou
-1,197,,Malcolm Ebiowei
-1,200,,Marc Guéhi
-1,202,,Rob Holding
-1,206,,Jefferson Lerma Solís
-1,208,,Matheus França de Oliveira
-1,209,,Remi Matthews
-1,212,,David Ozoh
-1,213,,Jesurun Rak-Sakyi
-1,445,,Matt Turner
-1,585,,Ismaïla Sarr
-1,644,,Franco Umeh-Chibueze
-1,647,,Kaden Rodney
-1,676,,Zach Marsh
-1,741,,Oliver Glasner
-1,218,,Norberto Bercique Gomes Betuncal
-1,221,,Séamus Coleman
-1,227,,João Neves Virgínia
-1,229,,Neal Maupay
-1,237,,Youssef Ramalho Chermiti
-1,450,,Carlos Alcaraz Durán
-1,577,,Jesper Lindstrøm
-1,582,,Jake O'Brien
-1,614,,Jenson Metcalfe
-1,624,,Asmir Begovic
-1,678,,Callum Bates
-1,724,,Martin Sherif
-1,742,,David Moyes
-1,773,,Isaac Heath
-1,775,,Coby Ebere
-1,19,,Emile Smith Rowe
-1,240,,Andreas Hoelgebaum Pereira
-1,242,,Steven Benda
-1,246,,Luke Harris
-1,249,,Saša Lukić
-1,250,,Kevin Mbabu
-1,251,,Rodrigo Muniz Carvalho
-1,253,,Tim Ream
-1,258,,Carlos Vinícius Alves Morais
-1,586,,Jorge Cuenca Barreno
-1,604,,Josh King
-1,690,,Samuel Amissah
-1,753,,Marco Alexandre Saraiva da Silva
-1,772,,Willian Borges da Silva
-1,261,,Elkan Baggott
-1,271,,Marcus Myers-Harness
-1,273,,Cameron Humphreys
-1,274,,Omari Giraud-Hutchinson
-1,276,,Freddie Ladapo
-1,279,,Corrie Ndaba
-1,280,,Cieran Slicker
-1,569,,Jaden Philogene
-1,611,,Sam Szmodics
-1,630,,Dara O'Shea
-1,743,,Kieran McKenna
-1,799,,Somto Boniface
-1,800,,Tom Taylor
-1,285,,Boubakary Soumaré
-1,286,,Tom Cannon
-1,290,,Bobby De Cordova-Reid
-1,292,,Michael Golding
-1,294,,Daniel Iversen
-1,297,,Wanya Marçal-Madivádua
-1,302,,Ricardo Barbosa Pereira
-1,303,,Harry Souttar
-1,616,,Ben Nelson
-1,694,,Henry Cartwright
-1,708,,Thomas Wilson-Brown
-1,754,,Ruud van Nistelrooij
-1,796,,Olabade Aluko
-1,797,,Jake Evans
-1,310,,Alisson Ramses Becker
-1,312,,Stefan Bajčetić Maquieira
-1,315,,Bobby Clark
-1,316,,Darwin Núñez Ribeiro
-1,317,,Diogo Teixeira da Silva
-1,318,,Ben Doak
-1,320,,Endo Wataru
-1,322,,Joe Gomez
-1,330,,James McConnell
-1,331,,Tyler Morton
-1,332,,Nathaniel Phillips
-1,334,,Rhys Williams
-1,669,,Harvey Davies
-1,688,,Treymaurice Nyoni
-1,692,,Amara Nallo
-1,744,,Arne Slot
-1,342,,Bernardo Veiga de Carvalho e Silva
-1,344,,Scott Carson
-1,346,,Jérémy Doku
-1,347,,Ederson Santana de Moraes
-1,350,,Joško Gvardiol
-1,352,,Julián Álvarez
-1,353,,João Cavaco Cancelo
-1,354,,Mateo Kovačić
-1,356,,Matheus Luiz Nunes
-1,360,,Rodrigo 'Rodri' Hernandez
-1,361,,Rúben Gato Alves Dias
-1,571,,Sávio 'Savinho' Moreira de Oliveira
-1,607,,Nico O'Reilly
-1,626,,Issa Kaboré
-1,671,,Jacob Wright
-1,675,,Josh Wilson-Esbrand
-1,703,,Max Alleyne
-1,704,,Spike Brits
-1,732,,Abdukodir Khusanov
-1,733,,Vitor de Oliveira Nunes dos Reis
-1,736,,Pep Guardiola
-1,785,,Claudio Echeverri
-1,364,,Amad Diallo
-1,365,,Antony Matheus dos Santos
-1,366,,Bruno Borges Fernandes
-1,367,,Altay Bayindir
-1,368,,Carlos Henrique Casimiro
-1,369,,Diogo Dalot Teixeira
-1,373,,Hannibal Mejbri
-1,374,,Tom Heaton
-1,384,,Facundo Pellistri Rebollo
-1,648,,Ethan Wheatley
-1,667,,Jack Fletcher
-1,673,,Jayce Fitzgerald
-1,691,,Godwill Kukonki
-1,745,,Ruben Filipe Marques Diogo Amorim
-1,761,,Elyh Harrison
-1,777,,Tyler Fredricson
-1,778,,Jack Moorhouse
-1,779,,Sékou Koné
-1,783,,Hubert Graczyk
-1,788,,Dermot Mee
-1,390,,Alex Murphy
-1,391,,Miguel Almirón Rejala
-1,394,,Bruno Guimarães Rodriguez Moura
-1,396,,Martin Dúbravka
-1,400,,Isaac Hayden
-1,403,,Joelinton Cássio Apolinário de Lira
-1,406,,Garang Kuol
-1,407,,Jamaal Lascelles
-1,408,,Jamal Lewis
-1,409,,Tino Livramento
-1,412,,Odysseas Vlachodimos
-1,414,,John Ruddy
-1,419,,Joe White
-1,574,,Miodrag Pivaš
-1,746,,Eddie Howe
-1,789,,Sean Neave
-1,26,,Álex Moreno Lopera
-1,426,,Josh Bowler
-1,427,,Carlos Miguel dos Santos Pereira
-1,429,,Danilo dos Santos de Oliveira
-1,430,,Emmanuel Dennis
-1,435,,Alex Mighten
-1,436,,Murillo Santiago Costa dos Santos
-1,438,,Omar Richards
-1,439,,Lewis O'Brien
-1,440,,Andrew Omobamidele
-1,441,,Jonathan Panzo
-1,442,,Ibrahim Sangaré
-1,446,,Hwang Ui-jo
-1,448,,Joe Worrall
-1,573,,Nikola Milenković
-1,596,,João Pedro Ferreira Silva
-1,653,,Felipe Rodrigues da Silva
-1,706,,Zach Abbott
-1,721,,Wayne Hennessey
-1,747,,Nuno Herlander Simões Espírito Santo
-1,188,,Lesley Ugochukwu
-1,452,,Joe Aribo
-1,454,,Gavin Bazunu
-1,456,,Armel Bella-Kotchap
-1,458,,Shea Charles
-1,464,,Juan Larios López
-1,465,,Mateusz Lis
-1,468,,Sékou Mara
-1,471,,Will Smallbone
-1,474,,Sugawara Yukinari
-1,477,,Nathan Wood-Gordon
-1,623,,Mateus Gonçalo Espanha Fernandes
-1,693,,Joseph O'Brien-Whitmarsh
-1,718,,Welington Damascena Santos
-1,719,,Joachim Kayi-Sanda
-1,748,,Simon Rusk
-1,798,,Jay Robinson
-1,82,,Dominic Solanke-Mitchell
-1,478,,Ashley Phillips
-1,483,,Bryan Gil Salvatierra
-1,485,,Alfie Devine
-1,486,,Radu Drăgușin
-1,487,,Emerson Leite de Souza Junior
-1,490,,Pierre-Emile Højbjerg
-1,493,,Giovani Lo Celso
-1,497,,Richarlison de Andrade
-1,499,,Pape Matar Sarr
-1,502,,Manor Solomon
-1,503,,Son Heung-min
-1,505,,Destiny Udogie
-1,507,,Alejo Véliz
-1,510,,Alfie Whiteman
-1,683,,Callum Olusesi
-1,684,,Malachi Hardy
-1,689,,Luca Williams-Barnett
-1,700,,Maeson King
-1,717,,Min-Hyeok Yang
-1,729,,Damola Ajayi
-1,749,,Ange Postecoglou
-1,760,,Dante Cassanova
-1,511,,Edson Álvarez Velázquez
-1,516,,Vladimír Coufal
-1,519,,George Earthy
-1,520,,Emerson Palmieri dos Santos
-1,521,,Łukasz Fabiański
-1,522,,Wes Foderingham
-1,526,,Luis Guilherme Lira dos Santos
-1,527,,Lucas Tolentino Coelho de Lima
-1,529,,Nayef Aguerd
-1,530,,Tomáš Souček
-1,532,,Kurt Zouma
-1,677,,Ollie Scarles
-1,686,,Ezra Mayers
-1,750,,Graham Potter
-1,533,,Rayan Aït-Nouri
-1,534,,Boubacar Traoré
-1,536,,Daniel Bentley
-1,537,,Francisco Jorge Tomás Oliveira
-1,538,,Tawanda Chirewa
-1,539,,Leon Chiwome
-1,540,,Luke Cundle
-1,541,,Matheus Santos Carneiro Da Cunha
-1,545,,Fábio Silva
-1,546,,Nathan Fraser
-1,547,,Enso González
-1,548,,Gonçalo Manuel Ganchinho Guedes
-1,549,,Hugo Bueno López
-1,550,,Hwang Hee-chan
-1,551,,Joe Hodge
-1,552,,Ki-Jana Hoever
-1,553,,João Victor Gomes da Silva
-1,554,,José Malheiro de Sá
-1,555,,Saša Kalajdžić
-1,556,,Tom King
-1,559,,Nélson Cabral Semedo
-1,561,,Pedro Cardoso de Lima
-1,562,,Daniel Castelo Podence
-1,563,,Rodrigo Martins Gomes
-1,567,,Toti António Gomes
-1,637,,Bastien Meupiyou
-1,642,,André Trindade da Costa Neto
-1,655,,Carlos Roberto Forbs Borges
-1,682,,Tom Edozie
-1,711,,Wes Okoduwa
-1,751,,Vítor Manuel de Oliveira Lopes Pereira
-1,784,,Mateus Mané
